label,m,n,k,ms_median,ms_mean,ms_std,max_abs,max_rel,rmse,metadata
pytorch_eager,512,4096,4096,0.07212799787521362,0.07193859525628991,0.0010072884365832867,256.0,0.025974025949835777,9.5625,
pytorch_eager,2048,4096,4096,0.2192319929599762,0.21874809522359145,0.0017142787976515703,256.0,0.04296875,9.5625,
pytorch_eager,8192,4096,4096,0.8877920210361481,0.8788133805448358,0.02420207828805591,512.0,0.05859375,9.5625,
pytorch_eager,8192,8192,8192,3.311087965965271,3.278921991586685,0.12951460874754667,512.0,0.384765625,19.125,
pytorch_eager,32768,8192,4096,7.22758412361145,7.240269729069301,0.026206129447945484,512.0,0.08154296875,9.5625,
pytorch_eager,65536,8192,4096,13.901472091674805,14.1988616670881,0.49803479979256526,512.0,0.08984375,9.5625,
pytorch_compile_separate,512,4096,4096,0.06415999680757523,0.06421058973825047,0.0006302757883974367,256.0,0.025974025949835777,9.5625,
pytorch_compile_separate,2048,4096,4096,0.19547200202941895,0.19640298961446837,0.002298169188041317,256.0,0.04296875,9.5625,
pytorch_compile_separate,8192,4096,4096,0.7835359871387482,0.792371466755867,0.015931580298312917,512.0,0.05859375,9.5625,
pytorch_compile_separate,8192,8192,8192,3.2276480197906494,3.1852169831593833,0.09100054693107834,512.0,0.384765625,19.125,
pytorch_compile_separate,32768,8192,4096,6.810624122619629,6.690645345052084,0.22527394244284785,512.0,0.08154296875,9.5625,
pytorch_compile_separate,65536,8192,4096,13.552768230438232,13.606356024742126,0.1839075085323176,512.0,0.08984375,9.5625,
pytorch_compile_stacked,512,4096,4096,0.10332799702882767,0.10334277366087816,0.0005936226311292692,256.0,0.025974025949835777,9.5625,
pytorch_compile_stacked,2048,4096,4096,0.24454399943351746,0.24444188992568205,0.0011244221664194554,256.0,0.04296875,9.5625,
pytorch_compile_stacked,8192,4096,4096,0.8335040211677551,0.8438228565667357,0.019035808017080578,512.0,0.05859375,9.5625,
pytorch_compile_stacked,8192,8192,8192,3.5061120986938477,3.47913291377406,0.058039120245821564,512.0,0.384765625,19.125,
pytorch_compile_stacked,32768,8192,4096,7.23964786529541,7.221595668792725,0.08234299827443652,512.0,0.08154296875,9.5625,
pytorch_compile_stacked,65536,8192,4096,14.457088470458984,14.429522241864886,0.1301338635594142,512.0,0.08984375,9.5625,
cutedsl,512,4096,4096,0.10918399691581726,0.10924088204103005,0.0012770390809126804,256.0,0.02734375,0.625,
cutedsl,2048,4096,4096,0.3187519907951355,0.31955521413121357,0.005037612068923181,256.0,0.041015625,0.625,
cutedsl,8192,4096,4096,1.1406400203704834,1.1345233787973243,0.013884648181224807,256.0,0.05859375,0.59765625,
cutedsl,8192,8192,8192,4.388544082641602,4.37623271075162,0.14752884615271078,512.0,0.380859375,1.7265625,
cutedsl,32768,8192,4096,9.883264064788818,9.89267864227295,0.07178599452129229,256.0,0.08056640625,0.609375,
cutedsl,65536,8192,4096,20.292064666748047,20.20092010498047,0.17794621842891525,256.0,0.0859375,0.60546875,
cutedsl_pipelined,512,4096,4096,0.07331199944019318,0.07328727269153984,0.000674403272379992,256.0,0.02734375,0.625,
cutedsl_pipelined,2048,4096,4096,0.26873600482940674,0.2686377218609603,0.004809712563350284,256.0,0.041015625,0.625,
cutedsl_pipelined,8192,4096,4096,1.0515520572662354,1.049007121678237,0.01612840346885183,256.0,0.05859375,0.59765625,
cutedsl_pipelined,8192,8192,8192,4.079040050506592,4.0557286739349365,0.18074764595222312,512.0,0.380859375,1.7265625,
cutedsl_pipelined,32768,8192,4096,9.686384201049805,9.675942420959473,0.046404628897830084,256.0,0.08056640625,0.609375,
cutedsl_pipelined,65536,8192,4096,19.458208084106445,19.444857788085937,0.03776848899904024,256.0,0.0859375,0.60546875,
fused_cutedsl,512,4096,4096,0.07129599899053574,0.07128064785837385,0.0009830764031845897,256.0,0.02734375,0.625,
fused_cutedsl,2048,4096,4096,0.22499200701713562,0.225134899886325,0.002541804150078894,256.0,0.041015625,0.625,
fused_cutedsl,8192,4096,4096,0.8845120072364807,0.8853452199981326,0.013359550907971796,256.0,0.05859375,0.59765625,
fused_cutedsl,8192,8192,8192,3.385759949684143,3.380561999976635,0.04437902237210865,512.0,0.380859375,1.7265625,
fused_cutedsl,32768,8192,4096,7.3133440017700195,7.201913118362427,0.22025833619574678,256.0,0.08056640625,0.609375,
fused_cutedsl,65536,8192,4096,15.064736366271973,14.992128235953194,0.20586130728153185,256.0,0.0859375,0.60546875,
helion_dot,512,4096,4096,0.06195199862122536,0.06199864737971879,0.0009777717037867059,256.0,0.02734375,0.625,
helion_dot,2048,4096,4096,0.24460799992084503,0.24457453103339086,0.0032289460168521164,256.0,0.041015625,0.625,
helion_dot,8192,4096,4096,1.1904640197753906,1.1780035074164228,0.022116182264228453,256.0,0.05859375,0.59765625,
helion_dot,8192,8192,8192,6.444128036499023,6.443295987447103,0.008156594259242145,512.0,0.380859375,1.7265625,
helion_dot,32768,8192,4096,8.294191837310791,8.294320027033487,0.019180599043347284,256.0,0.08056640625,0.609375,
helion_addmm,512,4096,4096,0.061184000223875046,0.06117077145774292,0.0006879424914188321,256.0,0.02734375,0.625,
helion_addmm,2048,4096,4096,0.2152000069618225,0.2140141231748016,0.0030039374682064965,256.0,0.041015625,0.625,
helion_addmm,8192,4096,4096,0.843968003988266,0.844090107240175,0.021632799312550632,256.0,0.05859375,0.59765625,
helion_addmm,8192,8192,8192,2.975152015686035,2.9796188158147476,0.07810573823971377,512.0,0.380859375,1.7265625,
