kernel,tokens,hidden_dim,dtype,ms,gb_per_s
pytorch_eager,512,4096,bfloat16,0.0104,1210.9
pytorch_eager,2048,4096,float32,0.0615,1637.4
pytorch_eager,2048,4096,bfloat16,0.0296,1699.9
pytorch_eager,8192,4096,bfloat16,0.1165,1728.6
pytorch_eager,8192,8192,bfloat16,0.2242,1795.6
pytorch_eager,32768,8192,bfloat16,0.8744,1841.9
pytorch_eager,65536,8192,bfloat16,1.7417,1849.5
pytorch_compile,512,4096,bfloat16,0.0278,452.9
pytorch_compile,2048,4096,float32,0.0364,2762.2
pytorch_compile,2048,4096,bfloat16,0.0335,1502.4
pytorch_compile,8192,4096,bfloat16,0.0687,2930.2
pytorch_compile,8192,8192,bfloat16,0.1521,2648.0
pytorch_compile,32768,8192,bfloat16,0.6021,2674.8
pytorch_compile,65536,8192,bfloat16,1.1920,2702.4
cutedsl,512,4096,bfloat16,0.0408,308.3
cutedsl,2048,4096,float32,0.0401,2509.4
cutedsl,2048,4096,bfloat16,0.0404,1247.2
cutedsl,8192,4096,bfloat16,0.1156,1741.4
cutedsl,8192,8192,bfloat16,0.2238,1798.9
cutedsl,32768,8192,bfloat16,0.8982,1793.2
cutedsl,65536,8192,bfloat16,1.7686,1821.3
helion,512,4096,bfloat16,0.0497,253.1
helion,2048,4096,float32,0.0524,1921.8
helion,2048,4096,bfloat16,0.0433,1162.5
helion,8192,4096,bfloat16,0.0689,2921.6
helion,8192,8192,bfloat16,0.1337,3011.3
helion,32768,8192,bfloat16,0.5168,3116.2
helion,65536,8192,bfloat16,1.0299,3127.6
